dma_name,principal_city,hardness_mgl,demand_t1,demand_t2,demand_t3,demand_t4,population,median_income,hardness_source,precision_flag
"Pittsburgh, PA",Pittsburgh,85,,,,,2919725,74000,https://www.pgh2o.com/your-water/water-quality,approximate
"Portland, OR",Portland,20,,,,,3194800,95000,https://www.portland.gov/water/water-quality,approximate
"Portland-Auburn, ME",Portland,60,,,,,1097575,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Presque Isle, ME",Presque Isle,60,,,,,67200,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Providence, RI-New Bedford, MA",Providence,12,,,,,1657025,86000,https://www.provwater.com/water_quality,approximate
"Quincy, IL-Hannibal, MO-Keokuk, IA",Quincy,120,,,,,249125,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Raleigh-Durham (Fayetteville), NC",Raleigh,40,,,,,3364600,91000,https://raleighnc.gov/water/services/drinking-water-quality,approximate
"Rapid City, SD",Rapid City,150,,,,,275150,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Reno, NV",Reno,275,,,,,788375,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Richmond-Petersburg, VA",Richmond,118,,,,,1563450,86000,https://www.rva.gov/public-utilities/water-quality,approximate
"Roanoke-Lynchburg, VA",Roanoke,120,,,,,1150000,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Rochester, MN-Mason City, IA-Austin, MN",Rochester,225,,,,,381800,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Rochester, NY",Rochester,75,,,,,1089650,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Rockford, IL",Rockford,120,,,,,452275,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Sacramento-Stockton-Modesto, CA",Sacramento,141,,,,,3744800,92000,https://dropconnect.com/water-hardness-in-california-cities/,precise
"Salisbury, MD",Salisbury,120,,,,,497325,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Salt Lake City, UT",Salt Lake City,200,,,,,2908800,99000,https://www.slc.gov/utilities/water-quality/,approximate
"San Angelo, TX",San Angelo,472,,,,,142600,,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"San Antonio, TX",San Antonio,300,,,,,2741000,74000,https://www.saws.org/your-water/water-quality/,approximate
"San Diego, CA",San Diego,261,,,,,2790375,103000,https://dropconnect.com/water-hardness-in-california-cities/,precise
"San Francisco-Oakland-San Jose, CA",San Francisco,32,,,,,6356200,136000,https://dropconnect.com/water-hardness-in-california-cities/,precise
"Santa Barbara-Santa Maria-San Luis Obispo, CA",Santa Barbara,287,,,,,614875,,https://dropconnect.com/water-hardness-in-california-cities/,approximate
"Savannah, GA",Savannah,130,,,,,1000475,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Seattle-Tacoma, WA",Seattle,22,,,,,5245600,117000,https://www.seattle.gov/utilities/your-services/water/water-quality,approximate
"Sherman, TX-Ada, OK",Sherman,95,,,,,350550,,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"Shreveport, LA",Shreveport,140,,,,,937575,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
